code	original_code	title	composer	track_number	is_duplicate
021010	0210	魔界地方都市エソテリア	ZUN	10	0
021011	0210	虎柄の毘沙門天	ZUN	11	0
021012	0210	法界の火	ZUN	12	0
021013	0210	感情の摩天楼　～ Cosmic Mind	ZUN	13	0
021014	0210	夜空のユーフォーロマンス	ZUN	14	0
021015	0210	平安のエイリアン	ZUN	15	0
021016	0210	妖怪寺	ZUN	16	0
021017	0210	空の帰り道　～ Sky Dream	ZUN	17	0
021018	0210	プレイヤーズスコア	ZUN	18	1
021101	0211	君はあの影を見たか	あきやまうに	1	0
021102	0211	萃夢想	あきやまうに	2	1
021103	0211	伝説の巨神	あきやまうに	3	0
021104	0211	ぼくらの非想天則	あきやまうに	4	0
021105	0211	人形のある風景	あきやまうに	5	0
021106	0211	悠久の蒸気機関	あきやまうに	6	0
021107	0211	信仰は儚き人間の為に	ZUN/あきやまうに	7	1
021108	0211	おてんば恋娘	ZUN/あきやまうに	8	1
021109	0211	上海紅茶館　～ Chinese Tea	ZUN/あきやまうに	9	1
021110	0211	霊知の太陽信仰　～ Nuclear Fusion	ZUN/あきやまうに	10	1
021111	0211	明日ハレの日、ケの昨日	ZUN/あきやまうに	11	1
021112	0211	アンノウンＸ　～ Unfound Adventure	ZUN	12	0
021113	0211	空に浮かぶ物体Ｘ	ZUN	13	0
021114	0211	二色蓮花蝶　～ Ancients	ZUN/あきやまうに	14	1
021115	0211	恋色マジック	ZUN/あきやまうに	15	1
021116	0211	the Grimoire of Alice	ZUN/あきやまうに	16	1
021117	0211	ヴワル魔法図書館	ZUN/あきやまうに	17	1
021118	0211	東方妖恋談	ZUN/あきやまうに	18	1
021201	0212	ニュースハウンド	ZUN	1	0
021202	0212	あなたの町の怪事件	ZUN	2	0
021203	0212	妖怪モダンコロニー	ZUN	3	0
021204	0212	ネメシスの要塞	ZUN	4	0
021205	0212	無間の鐘　～ Infinite Nightmare	ZUN	5	0
021206	0212	妖怪の山　～ Mysterious Mountain	ZUN	6	1
021207	0212	曲名不明	ZUN	7	0
021301	0213	春の氷精	ZUN	1	0
021302	0213	可愛い大戦争のリフレーン	ZUN	2	0
021303	0213	いたずらに命をかけて	ZUN	3	0
021304	0213	年中夢中の好奇心	ZUN	4	0
021305	0213	真夜中のフェアリーダンス	ZUN	5	0
021306	0213	妖精大戦争　～ Fairy Wars	ZUN	6	0
021307	0213	ルーズレイン	ZUN	7	0
021308	0213	メイガスナイト	ZUN	8	0
021309	0213	春の氷精　- 静 -	ZUN	9	0
021310	0213	プレイヤーズスコア	ZUN	10	1
021401	0214	欲深き霊魂	ZUN	1	0
021402	0214	死霊の夜桜	ZUN	2	0
021403	0214	ゴーストリード	ZUN	3	0
021404	0214	妖怪寺へようこそ	ZUN	4	0
021405	0214	門前の妖怪小娘	ZUN	5	0
021406	0214	素敵な墓場で暮しましょ	ZUN	6	0
021407	0214	リジッドパラダイス	ZUN	7	0
021408	0214	デザイアドライブ	ZUN	8	0
021409	0214	古きユアンシェン	ZUN	9	0
021410	0214	夢殿大祀廟	ZUN	10	0
021411	0214	大神神話伝	ZUN	11	0
021412	0214	小さな欲望の星空	ZUN	12	0
021413	0214	聖徳伝説　～ True Administrator	ZUN	13	0
021414	0214	妖怪裏参道	ZUN	14	0
021415	0214	佐渡の二ッ岩	ZUN	15	0
021416	0214	神社の新しい風	ZUN	16	0
021417	0214	デザイアドリーム	ZUN	17	0
021418	0214	プレイヤーズスコア	ZUN	18	1
021501	0215	塵界不変のペシミズム～心綺楼囃子	あきやまうに	1	0
021502	0215	人気のある場所	あきやまうに	2	0
021503	0215	春色小径　～ Colorful Path	ZUN/あきやまうに	3	1
021504	0215	メイガスナイト	ZUN/あきやまうに	4	1
021505	0215	時代親父とハイカラ少女	ZUN/あきやまうに	5	1
021506	0215	感情の摩天楼　～ Cosmic Mind	ZUN/あきやまうに	6	1
021507	0215	大神神話伝	ZUN/あきやまうに	7	1
021508	0215	聖徳伝説　～ True Administrator	ZUN/あきやまうに	8	1
021509	0215	芥川龍之介の河童 ～ Candid Friend	ZUN/あきやまうに	9	1
021510	0215	ハルトマンの妖怪少女	ZUN/あきやまうに	10	1
021511	0215	人気のない場所	あきやまうに	11	0
021512	0215	佐渡の二ッ岩	ZUN/あきやまうに	12	1
021513	0215	本日の一面記事	あきやまうに	13	0
021514	0215	幻想郷の二ッ岩	ZUN	14	0
021515	0215	丑三つ時の里	あきやまうに	15	0
